temp:1000000000.0
uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;8861.855000;0.000000
2;6170;6170;8898.826000;0.000000
3;4267;4267;8857.797000;0.000000
4;5011;5011;8869.076000;0.000000
5;5283;5283;8851.642000;0.000000
6;58258;58258;9096.016000;0.000000
7;50972;50972;9086.973000;0.000000
8;59434;59434;9089.249000;0.000000
9;41005;40978;9114.943000;0.000659
10;53208;53208;9075.767000;0.000000
11;181649;181649;9045.462000;0.000000
12;234179;234179;9115.636000;0.000000
13;178840;178840;9055.761000;0.000000
14;157541;157476;9046.276000;0.000413
15;173020;172995;9042.253000;0.000145
16;407703;407703;9063.277000;0.000000
17;332804;332804;9065.978000;0.000000
18;544838;544838;9026.744000;0.000000
19;477684;477684;9041.518000;0.000000
20;406094;406094;9199.826000;0.000000
21;898925;898925;8943.086000;0.000000
22;556873;556873;9008.164000;0.000000
23;539716;539716;9000.449000;0.000000
24;744287;744287;9022.796000;0.000000
25;585306;585306;8972.552000;0.000000
26;8;8;9052.297000;0.000000
27;718;718;9131.202000;0.000000
28;27;27;9106.559000;0.000000
29;480;480;9103.442000;0.000000
30;50;50;9149.296000;0.000000
31;24202;24202;9251.187000;0.000000
32;25571;25469;9430.958000;0.004005
33;32964;32964;9356.631000;0.000000
34;22215;22215;9382.273000;0.000000
35;19114;19114;9332.454000;0.000000
36;108293;108293;9463.722000;0.000000
37;182041;181850;9398.616000;0.001050
38;90440;90440;9403.209000;0.000000
39;153082;151701;9360.288000;0.009103
40;129728;129728;9441.071000;0.000000
41;462324;462324;9209.951000;0.000000
42;425914;425875;9293.203000;0.000092
43;320537;320537;9324.919000;0.000000
44;360844;360193;9454.905000;0.001807
45;306123;306040;9347.456000;0.000271
46;829848;829828;9082.917000;0.000024
47;623356;623356;9022.645000;0.000000
48;748988;748988;9120.856000;0.000000
49;656693;656693;9169.053000;0.000000
50;599269;599269;9143.690000;0.000000
56;9478;9046;9527.872000;0.047756
57;11539;11539;9585.778000;0.000000
58;16313;16313;9745.187000;0.000000
59;7965;7965;9538.890000;0.000000
60;19985;19912;9524.994000;0.003666
61;87039;86793;9889.991000;0.002834
