temp: 0.12
uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;6066;5988;924.673000;0.013026
2;6198;6170;922.580000;0.004538
3;4267;4267;914.121000;0.000000
4;5011;5011;920.042000;0.000000
5;5563;5283;919.767000;0.053000
6;58651;58258;951.484000;0.006746
7;50972;50972;946.606000;0.000000
8;59505;59434;942.620000;0.001195
9;40978;40978;954.054000;0.000000
10;53208;53208;965.002000;0.000000
11;182949;181649;985.555000;0.007157
12;234614;234179;1000.353000;0.001858
13;179184;178840;991.036000;0.001924
14;157638;157476;1000.431000;0.001029
15;173020;172995;1000.875000;0.000145
16;408237;407703;1002.494000;0.001310
17;333756;332804;997.487000;0.002861
18;544838;544838;990.257000;0.000000
19;477800;477684;1002.404000;0.000243
20;406734;406094;996.900000;0.001576
21;898988;898925;991.758000;0.000070
22;556973;556873;980.402000;0.000180
23;539944;539716;995.479000;0.000422
24;744287;744287;988.930000;0.000000
25;585306;585306;991.549000;0.000000
26;8;8;924.244000;0.000000
27;823;718;938.763000;0.146240
28;27;27;917.904000;0.000000
29;480;480;930.457000;0.000000
30;50;50;916.897000;0.000000
31;24243;24202;980.827000;0.001694
32;26045;25469;1003.554000;0.022616
33;33740;32964;1000.911000;0.023541
34;22393;22215;1000.986000;0.008013
35;19114;19114;990.740000;0.000000
36;108293;108293;1003.132000;0.000000
37;182041;181850;1000.358000;0.001050
38;90846;90440;1000.184000;0.004489
39;153226;151701;1000.750000;0.010053
40;129895;129728;1002.263000;0.001287
41;462340;462324;1002.409000;0.000035
42;426292;425875;1003.128000;0.000979
43;320609;320537;1002.559000;0.000225
44;361047;360193;1002.245000;0.002371
45;306123;306040;1000.345000;0.000271
46;829914;829828;982.986000;0.000104
47;623374;623356;986.807000;0.000029
48;749001;748988;983.876000;0.000017
49;656713;656693;992.404000;0.000030
50;599294;599269;984.002000;0.000042
56;9489;9046;988.700000;0.048972
57;11539;11539;975.718000;0.000000
58;16313;16313;1001.038000;0.000000
59;8004;7965;981.593000;0.004896
60;19919;19912;986.122000;0.000352
61;86978;86793;1000.636000;0.002132
62;87240;87067;1004.238000;0.001987
63;96673;96563;1000.319000;0.001139
64;101563;100788;1001.164000;0.007689
65;56812;56510;1002.044000;0.005344
66;243955;243872;1002.927000;0.000340
67;401152;401023;1002.377000;0.000322
68;399622;399085;1001.405000;0.001346
69;310346;309232;1000.171000;0.003602
70;222769;222684;1003.518000;0.000382
71;640998;640816;999.374000;0.000284
72;611391;611362;1001.593000;0.000047
73;623463;623429;982.373000;0.000055
74;584631;584628;1000.842000;0.000005
75;575283;575274;1000.183000;0.000016
81;1400;1400;1004.473000;0.000000
82;317;317;1003.028000;0.000000
83;1146;1146;1002.947000;0.000000
84;136;136;959.150000;0.000000
85;341;284;1002.748000;0.200704
86;68369;66850;1003.539000;0.022723
87;84737;84229;1004.283000;0.006031
88;55892;55544;1003.769000;0.006265
89;54612;54612;1004.190000;0.000000
90;75061;75061;1003.609000;0.000000
91;249272;248699;1003.141000;0.002304
92;311460;311022;1001.416000;0.001408
93;326557;326258;1002.406000;0.000916
94;274096;273993;1000.775000;0.000376
95;316878;316870;1003.127000;0.000025
96;495598;495516;1003.547000;0.000165
97;637094;636903;1000.216000;0.000300
98;680090;680082;996.460000;0.000012
99;622506;622464;985.893000;0.000067
100;449622;449545;1002.870000;0.000171
107;1193;1193;991.073000;0.000000
109;232;232;978.462000;0.000000
111;160110;159138;1002.394000;0.006108
112;174779;174377;1001.038000;0.002305
113;91509;91171;1000.055000;0.003707
114;168336;168297;1002.186000;0.000232
115;70328;70190;1000.332000;0.001966
116;370724;370631;1000.832000;0.000251
117;324769;324437;1000.665000;0.001023
118;246714;246243;1001.270000;0.001913
119;293846;293576;1002.974000;0.000920
120;267397;267326;1002.102000;0.000266
121;471256;471214;1001.103000;0.000089
122;570509;570459;1002.820000;0.000088
123;397255;397029;1000.735000;0.000569
124;431115;431115;1004.764000;0.000000
125;561114;560754;1000.096000;0.000642

uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;6066;5988;1000.350000;0.013026
2;6182;6170;1000.379000;0.001945
3;4286;4267;1000.179000;0.004453
4;5150;5011;1000.168000;0.027739
5;5283;5283;1000.167000;0.000000
6;59239;58258;1000.343000;0.016839
7;86302;50972;1000.608000;0.693126
8;103433;59434;1000.627000;0.740300
9;123508;40978;1001.204000;2.014008
10;114070;53208;1000.383000;1.143851
11;373898;181649;1000.833000;1.058354
12;435423;234179;1000.128000;0.859360
13;422452;178840;1000.934000;1.362178
14;389391;157476;1000.822000;1.472701
15;353311;172995;1000.745000;1.042319
16;756198;407703;1000.784000;0.854777
17;660093;332804;1000.402000;0.983429
18;861206;544838;1000.112000;0.580664
19;906565;477684;1001.088000;0.897834
20;742233;406094;1001.076000;0.827737
21;1350964;898925;1000.311000;0.502866
22;894893;556873;1000.101000;0.606997
23;958270;539716;1000.798000;0.775508
24;1088061;744287;1001.186000;0.461884
25;1115972;585306;1000.538000;0.906647
26;8;8;1000.898000;0.000000
27;952;718;1000.591000;0.325905
28;176;27;1000.479000;5.518519
29;554;480;1001.172000;0.154167
30;50;50;1000.043000;0.000000
31;143463;24202;1000.499000;4.927733
32;162178;25469;1000.695000;5.367663
33;154806;32964;1000.290000;3.696214
34;118090;22215;1001.046000;4.315778
35;103447;19114;1001.113000;4.412106
36;331317;108293;1000.242000;2.059450
37;475735;181850;1000.373000;1.616085
38;359947;90440;1000.074000;2.979954
39;409516;151701;1001.178000;1.699494
40;425559;129728;1000.269000;2.280394
41;954922;462324;1000.371000;1.065482
42;780649;425875;1001.032000;0.833047
43;723018;320537;1000.106000;1.255646
44;679511;360193;1000.307000;0.886519
45;747950;306040;1001.206000;1.443962
46;1231998;829828;1000.110000;0.484643
47;1128213;623356;1000.740000;0.809902
48;1152089;748988;1000.635000;0.538194
49;1083137;656693;1000.673000;0.649381
50;1019111;599269;1000.943000;0.700590
56;168928;9046;1000.911000;17.674331
57;159980;11539;1001.052000;12.864286
58;199524;16313;1000.102000;11.230981
59;149995;7965;1000.172000;17.831764
60;109187;19912;1000.572000;4.483477
61;417216;86793;1000.780000;3.807024
62;416513;87067;1001.298000;3.783822
63;479776;96563;1000.515000;3.968528
64;485681;100788;1000.784000;3.818838
65;280365;56510;1000.867000;3.961334
66;653497;243872;1000.950000;1.679672
67;844152;401023;1000.929000;1.104996
68;814454;399085;1000.408000;1.040803
69;719705;309232;1000.759000;1.327395
70;660847;222684;1000.614000;1.967645
71;1040080;640816;1000.936000;0.623056
72;1027465;611362;1000.263000;0.680616
73;948407;623429;1000.223000;0.521275
74;1054210;584628;1000.836000;0.803215
75;934449;575274;1000.767000;0.624355
81;167955;1400;1000.685000;118.967857
82;247490;317;1000.622000;779.725552
83;151401;1146;1000.060000;131.112565
84;92878;136;1001.148000;681.926471
85;221650;284;1000.946000;779.457746
86;459338;66850;1000.081000;5.871174
87;503994;84229;1000.772000;4.983616
88;469478;55544;1001.096000;7.452362
89;298382;54612;1000.414000;4.463671
90;478328;75061;1000.195000;5.372524
91;819535;248699;1000.227000;2.295289
92;695027;311022;1000.173000;1.234655
93;813878;326258;1001.188000;1.494584
94;758470;273993;1000.570000;1.768209
95;714336;316870;1000.692000;1.254350
96;907840;495516;1000.163000;0.832110
97;1081366;636903;1000.397000;0.697850
98;1105956;680082;1000.241000;0.626210
99;1061121;622464;1000.605000;0.704711
100;860821;449545;1000.111000;0.914872
107;372322;1193;1001.277000;311.088852
109;264006;232;1000.948000;1136.956897
111;523760;159138;1000.246000;2.291232
112;667785;174377;1000.277000;2.829547
113;494638;91171;1000.295000;4.425387
114;672201;168297;1000.633000;2.994135
115;423913;70190;1001.143000;5.039507
116;709587;370631;1001.042000;0.914538
117;905795;324437;1000.224000;1.791898
118;701630;246243;1000.716000;1.849340
119;723222;293576;1000.843000;1.463492
120;647075;267326;1000.565000;1.420546
121;833123;471214;1000.473000;0.768035
122;1071524;570459;1000.327000;0.878354
123;765032;397029;1000.358000;0.926892
124;876799;431115;1000.045000;1.033794
125;960076;560754;1001.146000;0.712116

uruchamianie testow TS bez dywersyfikacji, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;6076;5988;1000.110000;0.014696
2;6218;6170;1000.188000;0.007780
3;4336;4267;1000.443000;0.016171
4;5689;5011;1000.462000;0.135302
5;5480;5283;1001.122000;0.037289
6;91671;58258;1001.089000;0.573535
7;120915;50972;1000.087000;1.372185
8;100466;59434;1000.955000;0.690379
9;119362;40978;1000.062000;1.912831
10;79005;53208;1000.223000;0.484833
11;376543;181649;1001.019000;1.072915
12;398389;234179;1000.522000;0.701216
13;355919;178840;1000.695000;0.990153
14;269768;157476;1000.618000;0.713074
15;349188;172995;1000.416000;1.018486
16;754761;407703;1000.851000;0.851252
17;646536;332804;1000.616000;0.942693
18;877717;544838;1000.332000;0.610969
19;869496;477684;1000.420000;0.820233
20;821607;406094;1000.841000;1.023194
21;1480117;898925;1001.083000;0.646541
22;943629;556873;1000.906000;0.694514
23;963150;539716;1000.352000;0.784550
24;1283356;744287;1000.929000;0.724276
25;1027777;585306;1000.943000;0.755965
26;8;8;1000.626000;0.000000
27;952;718;1000.309000;0.325905
28;176;27;1000.897000;5.518519
29;806;480;1001.237000;0.679167
30;50;50;1001.199000;0.000000
31;103080;24202;1000.919000;3.259152
32;148378;25469;1001.270000;4.825827
33;155432;32964;1000.185000;3.715204
34;150287;22215;1000.937000;5.765114
35;91268;19114;1001.272000;3.774929
36;310551;108293;1000.138000;1.867692
37;505101;181850;1000.775000;1.777569
38;349812;90440;1001.053000;2.867890
39;380940;151701;1000.105000;1.511124
40;419399;129728;1000.979000;2.232910
41;1029183;462324;1001.153000;1.226108
42;844389;425875;1001.100000;0.982716
43;653442;320537;1001.146000;1.038585
44;902037;360193;1000.967000;1.504316
45;865615;306040;1001.251000;1.828437
46;1345877;829828;1000.947000;0.621875
47;1095605;623356;1000.574000;0.757591
48;1257549;748988;1000.313000;0.678998
49;1210039;656693;1000.487000;0.842625
50;1011674;599269;1000.653000;0.688180
56;130752;9046;1000.473000;13.454123
57;145016;11539;1000.987000;11.567467
58;161252;16313;1000.445000;8.884877
59;127256;7965;1000.573000;14.976899
60;107866;19912;1000.706000;4.417135
61;438672;86793;1001.638000;4.054232
62;374082;87067;1000.742000;3.296484
63;452857;96563;1001.225000;3.689757
64;430031;100788;1000.492000;3.266688
65;294448;56510;1000.818000;4.210547
66;635354;243872;1000.791000;1.605277
67;779027;401023;1000.581000;0.942599
68;825620;399085;1000.816000;1.068782
69;771709;309232;1000.834000;1.495566
70;617935;222684;1001.032000;1.774941
71;1102383;640816;1000.681000;0.720280
72;1009980;611362;1000.864000;0.652016
73;1039265;623429;1001.213000;0.667014
74;991963;584628;1000.141000;0.696742
75;917022;575274;1000.168000;0.594061
81;237414;1400;1001.344000;168.581429
82;275282;317;1000.683000;867.397476
83;161124;1146;1001.184000;139.596859
84;84787;136;1001.076000;622.433824
85;196613;284;1000.193000;691.299296
86;454579;66850;1000.870000;5.799985
87;523320;84229;1001.009000;5.213062
88;418378;55544;1001.015000;6.532371
89;308640;54612;1000.390000;4.651505
90;394202;75061;1001.306000;4.251755
91;685332;248699;1000.499000;1.755668
92;732296;311022;1000.451000;1.354483
93;740218;326258;1000.175000;1.268812
94;618395;273993;1000.268000;1.256974
95;724260;316870;1000.503000;1.285669
96;880968;495516;1000.636000;0.777880
97;1067981;636903;1001.151000;0.676835
98;1085956;680082;1000.982000;0.596802
99;1275593;622464;1001.086000;1.049264
100;839780;449545;1000.276000;0.868067
107;335687;1193;1000.569000;280.380553
109;217943;232;1001.121000;938.409483
111;457262;159138;1000.494000;1.873368
112;475620;174377;1000.484000;1.727539
113;519934;91171;1001.135000;4.702844
114;568043;168297;1001.274000;2.375241
115;415882;70190;1001.027000;4.925089
116;817232;370631;1000.148000;1.204975
117;926073;324437;1000.858000;1.854400
118;618395;246243;1001.024000;1.511320
119;711378;293576;1000.389000;1.423148
120;681320;267326;1000.740000;1.548648
121;930165;471214;1000.968000;0.973976
122;963159;570459;1000.108000;0.688393
123;762906;397029;1000.061000;0.921537
124;900323;431115;1000.153000;1.088359
125;1154289;560754;1000.813000;1.058459

uruchamianie testow SA, sasiedztwo: 1
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;1000.216000;0.000000
2;6170;6170;1002.651000;0.000000
3;4414;4267;1002.614000;0.034450
4;5011;5011;1001.919000;0.000000
5;5549;5283;1003.971000;0.050350
6;58258;58258;1002.085000;0.000000
7;51293;50972;1001.156000;0.006298
8;60542;59434;1002.842000;0.018643
9;40978;40978;1000.998000;0.000000
10;53472;53208;1002.899000;0.004962
11;183470;181649;1002.508000;0.010025
12;234179;234179;1000.211000;0.000000
13;180107;178840;1001.233000;0.007085
14;158584;157476;1001.630000;0.007036
15;173020;172995;1000.679000;0.000145
16;407703;407703;1002.836000;0.000000
17;334028;332804;1003.791000;0.003678
18;545987;544838;1003.593000;0.002109
19;478660;477684;1001.587000;0.002043
20;407210;406094;1001.277000;0.002748
21;898925;898925;1004.282000;0.000000
22;556933;556873;1001.943000;0.000108
23;539838;539716;1003.993000;0.000226
24;744430;744287;1003.089000;0.000192
25;585414;585306;1002.060000;0.000185
26;8;8;1000.713000;0.000000
27;823;718;1002.064000;0.146240
28;27;27;1001.339000;0.000000
29;480;480;1000.672000;0.000000
30;50;50;1000.249000;0.000000
31;24765;24202;1001.437000;0.023263
32;25469;25469;1000.633000;0.000000
33;33776;32964;1004.054000;0.024633
34;23128;22215;1000.974000;0.041098
35;19114;19114;1002.886000;0.000000
36;108293;108293;1000.535000;0.000000
37;183544;181850;1003.872000;0.009315
38;90644;90440;1002.973000;0.002256
39;154759;151701;1001.403000;0.020158
40;130623;129728;1004.213000;0.006899
41;463213;462324;1001.599000;0.001923
42;427679;425875;1002.188000;0.004236
43;322053;320537;1000.306000;0.004730
44;360828;360193;1003.376000;0.001763
45;306686;306040;1002.158000;0.002111
46;830204;829828;1001.169000;0.000453
47;623385;623356;1000.560000;0.000047
48;749403;748988;1002.811000;0.000554
49;657062;656693;1004.473000;0.000562
50;599465;599269;1001.361000;0.000327
56;9489;9046;1000.758000;0.048972
57;12127;11539;1000.745000;0.050958
58;18192;16313;1000.851000;0.115184
59;8005;7965;1001.688000;0.005022
60;20344;19912;1003.866000;0.021695
61;87836;86793;1000.437000;0.012017
62;87240;87067;1002.940000;0.001987
63;98809;96563;1002.844000;0.023259
64;101563;100788;1004.353000;0.007689
65;56812;56510;1001.006000;0.005344
66;244577;243872;1001.137000;0.002891
67;402634;401023;1000.719000;0.004017
68;399462;399085;1002.414000;0.000945
69;309786;309232;1001.207000;0.001792
70;224305;222684;1002.693000;0.007279
71;641606;640816;1002.752000;0.001233
72;611875;611362;1000.881000;0.000839
73;623626;623429;1003.180000;0.000316
74;584713;584628;1004.328000;0.000145
75;575940;575274;1000.039000;0.001158
81;2167;1400;1002.934000;0.547857
82;317;317;1002.022000;0.000000
83;2272;1146;1003.976000;0.982548
84;136;136;1000.424000;0.000000
85;284;284;1003.154000;0.000000
86;70127;66850;1005.032000;0.049020
87;84963;84229;1002.712000;0.008714
88;56162;55544;1000.872000;0.011126
89;56054;54612;1000.649000;0.026404
90;75631;75061;1000.207000;0.007594
91;248948;248699;1001.359000;0.001001
92;312938;311022;1003.153000;0.006160
93;327055;326258;1004.036000;0.002443
94;275035;273993;1002.351000;0.003803
95;318114;316870;1002.541000;0.003926
96;495863;495516;1001.412000;0.000700
97;637174;636903;1003.800000;0.000425
98;680610;680082;1000.156000;0.000776
99;623190;622464;1000.653000;0.001166
100;449991;449545;1002.067000;0.000992
107;1198;1193;1002.953000;0.004191
109;232;232;1001.301000;0.000000
111;160501;159138;1004.240000;0.008565
112;175759;174377;1001.105000;0.007925
113;91834;91171;1000.711000;0.007272
114;169716;168297;1002.279000;0.008432
115;71320;70190;1005.276000;0.016099
116;371501;370631;1002.162000;0.002347
117;325781;324437;1002.568000;0.004143
118;246852;246243;1000.274000;0.002473
119;296073;293576;1000.480000;0.008505
120;268350;267326;1003.671000;0.003831
121;472557;471214;1003.467000;0.002850
122;571463;570459;1002.552000;0.001760
123;397846;397029;1004.705000;0.002058
124;432277;431115;1000.120000;0.002695
125;562787;560754;1002.277000;0.003625

uruchamianie testow TS z dywersyfikacja, sasiedztwo: 1
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;43111;5988;1001.679000;6.199566
2;6170;6170;1000.518000;0.000000
3;33213;4267;1000.298000;6.783689
4;9076;5011;1000.710000;0.811215
5;23673;5283;1001.335000;3.480977
6;185090;58258;1002.589000;2.177074
7;178452;50972;1000.408000;2.500981
8;141495;59434;1000.928000;1.380708
9;202488;40978;1001.791000;3.941383
10;119084;53208;1000.161000;1.238084
11;498223;181649;1002.047000;1.742779
12;553200;234179;1000.671000;1.362296
13;581831;178840;1001.842000;2.253361
14;464890;157476;1002.040000;1.952132
15;484166;172995;1000.633000;1.798728
16;858100;407703;1002.316000;1.104718
17;799884;332804;1001.127000;1.403469
18;958265;544838;1002.485000;0.758807
19;937433;477684;1002.433000;0.962454
20;951324;406094;1002.384000;1.342620
21;1548409;898925;1001.569000;0.722512
22;1047493;556873;1001.675000;0.881027
23;1047384;539716;1001.761000;0.940621
24;1368218;744287;1002.104000;0.838294
25;1233349;585306;1000.101000;1.107187
26;3069;8;1002.657000;382.625000
27;41927;718;1000.680000;57.394150
28;23721;27;1001.365000;877.555556
29;6635;480;1000.340000;12.822917
30;66301;50;1002.959000;1325.020000
31;161049;24202;1002.322000;5.654367
32;172601;25469;1001.018000;5.776905
33;227738;32964;1000.063000;5.908688
34;198582;22215;1000.736000;7.939095
35;167641;19114;1001.706000;7.770587
36;515763;108293;1001.238000;3.762662
37;561146;181850;1000.564000;2.085763
38;504132;90440;1002.827000;4.574215
39;525352;151701;1000.225000;2.463075
40;520313;129728;1000.759000;3.010800
41;1086757;462324;1000.559000;1.350639
42;951138;425875;1001.926000;1.233374
43;894700;320537;1000.188000;1.791253
44;974197;360193;1002.275000;1.704653
45;766377;306040;1002.043000;1.504173
46;1358470;829828;1000.351000;0.637050
47;1099058;623356;1001.854000;0.763131
48;1449217;748988;1001.093000;0.934900
49;1242042;656693;1001.860000;0.891359
50;1193143;599269;1002.390000;0.990997
56;250545;9046;1001.849000;26.696772
