uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;20000.284000;0.000000
2;6182;6170;20000.274000;0.001945
3;4267;4267;20000.412000;0.000000
4;5011;5011;20001.129000;0.000000
5;5283;5283;20000.307000;0.000000
6;58258;58258;20000.057000;0.000000
7;50972;50972;20000.790000;0.000000
8;59434;59434;20001.044000;0.000000
9;41005;40978;20000.305000;0.000659
10;53296;53208;20000.090000;0.001654
11;181825;181649;20000.849000;0.000969
12;234315;234179;20000.063000;0.000581
13;178993;178840;20000.215000;0.000856
14;157706;157476;20000.984000;0.001461
15;173020;172995;20000.244000;0.000145
16;407703;407703;20000.062000;0.000000
17;333212;332804;20000.228000;0.001226
18;544838;544838;20000.078000;0.000000
19;477823;477684;20000.812000;0.000291
20;406328;406094;20000.674000;0.000576
21;898925;898925;20000.089000;0.000000
22;556873;556873;20001.159000;0.000000
23;539716;539716;20000.549000;0.000000
24;744287;744287;20000.463000;0.000000
25;585306;585306;20000.421000;0.000000
26;8;8;20001.137000;0.000000
27;835;718;20000.665000;0.162953
28;27;27;20000.387000;0.000000
29;482;480;20000.504000;0.004167
30;50;50;20000.699000;0.000000
31;24242;24202;20000.979000;0.001653
32;25798;25469;20001.196000;0.012918
33;33295;32964;20000.829000;0.010041
34;22382;22215;20001.225000;0.007517
35;19172;19114;20001.041000;0.003034
36;108293;108293;20000.605000;0.000000
37;182465;181850;20001.185000;0.003382
38;90644;90440;20000.976000;0.002256
39;153130;151701;20000.228000;0.009420
40;129747;129728;20000.853000;0.000146
41;462324;462324;20000.403000;0.000000
42;425993;425875;20001.076000;0.000277
43;320537;320537;20001.152000;0.000000
44;360212;360193;20000.099000;0.000053
45;306053;306040;20000.377000;0.000042
46;829828;829828;20000.438000;0.000000
47;623356;623356;20000.592000;0.000000
48;748988;748988;20000.441000;0.000000
49;656696;656693;20000.799000;0.000005
50;599269;599269;20000.307000;0.000000
56;9478;9046;20000.323000;0.047756
57;11539;11539;20000.777000;0.000000
58;17391;16313;20000.648000;0.066082
59;8001;7965;20000.780000;0.004520
60;20026;19912;20000.541000;0.005725
