uruchamianie testow SA, sasiedztwo: Przez zamiane
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;1983.831000;0.000000
2;6312;6170;1957.805000;0.023015
3;4267;4267;1958.149000;0.000000
4;5014;5011;1983.483000;0.000599
5;5563;5283;1971.387000;0.053000
6;58258;58258;2001.140000;0.000000
7;51020;50972;2000.819000;0.000942
8;59668;59434;2001.984000;0.003937
9;41027;40978;2000.646000;0.001196
10;53340;53208;2001.547000;0.002481
11;182894;181649;2003.614000;0.006854
12;234614;234179;2002.394000;0.001858
13;179184;178840;2003.766000;0.001924
14;157736;157476;2001.839000;0.001651
15;173045;172995;2001.404000;0.000289
16;407703;407703;2000.340000;0.000000
17;332804;332804;2003.575000;0.000000
18;544838;544838;2001.592000;0.000000
19;477891;477684;2002.346000;0.000433
20;406662;406094;2002.151000;0.001399
21;898994;898925;2000.118000;0.000077
22;556971;556873;2002.482000;0.000176
23;539776;539716;2001.140000;0.000111
24;744287;744287;2000.391000;0.000000
25;585306;585306;2000.593000;0.000000
26;8;8;1944.525000;0.000000
27;823;718;1965.305000;0.146240
28;27;27;1978.202000;0.000000
29;480;480;1961.776000;0.000000
30;50;50;1960.376000;0.000000
31;24243;24202;2003.232000;0.001694
32;25469;25469;2001.376000;0.000000
33;32999;32964;2000.835000;0.001062
34;22393;22215;2001.688000;0.008013
35;19114;19114;2003.004000;0.000000
36;108725;108293;2000.160000;0.003989
37;182362;181850;2004.510000;0.002816
38;90440;90440;2003.058000;0.000000
39;153082;151701;2000.033000;0.009103
40;129728;129728;2001.436000;0.000000
41;462807;462324;2002.378000;0.001045
42;425948;425875;2000.893000;0.000171
43;320550;320537;2002.379000;0.000041
44;360334;360193;2000.924000;0.000391
45;306270;306040;2004.152000;0.000752
46;829875;829828;2001.431000;0.000057
47;623356;623356;2003.232000;0.000000
48;748988;748988;2001.508000;0.000000
49;656696;656693;2002.653000;0.000005
50;599269;599269;2000.649000;0.000000
56;9478;9046;2000.358000;0.047756
57;11539;11539;2000.624000;0.000000
58;16896;16313;2002.073000;0.035738
59;8004;7965;2002.436000;0.004896
60;19994;19912;2002.500000;0.004118
61;87448;86793;2004.623000;0.007547
62;87211;87067;2000.906000;0.001654
63;97870;96563;2003.515000;0.013535
64;101563;100788;2001.387000;0.007689
65;56812;56510;2001.861000;0.005344
66;243943;243872;2002.501000;0.000291
67;401242;401023;2001.074000;0.000546
68;399345;399085;2001.119000;0.000651
69;309288;309232;2003.003000;0.000181
70;222767;222684;2000.461000;0.000373
71;640838;640816;2003.545000;0.000034
72;611539;611362;2003.317000;0.000290
73;623429;623429;2001.099000;0.000000
74;584802;584628;2000.842000;0.000298
75;575274;575274;2000.361000;0.000000
81;1400;1400;2001.446000;0.000000
82;317;317;2000.945000;0.000000
83;1146;1146;2001.491000;0.000000
84;136;136;2002.301000;0.000000
85;341;284;2003.211000;0.200704
86;68698;66850;2003.495000;0.027644
87;84229;84229;2000.727000;0.000000
88;56009;55544;2002.867000;0.008372
89;54612;54612;2004.316000;0.000000
90;75067;75061;2003.467000;0.000080
91;249458;248699;2000.270000;0.003052
92;311075;311022;2001.896000;0.000170
93;326333;326258;2001.443000;0.000230
94;274133;273993;2002.108000;0.000511
95;318140;316870;2000.099000;0.004008
96;495554;495516;2000.086000;0.000077
97;636972;636903;2002.382000;0.000108
98;680082;680082;2001.755000;0.000000
99;622505;622464;2003.042000;0.000066
100;449923;449545;2000.948000;0.000841
107;1320;1193;2001.146000;0.106454
109;232;232;2000.160000;0.000000
111;159925;159123;2002.896000;0.005040
112;174408;174367;2001.913000;0.000235
113;91521;91169;2001.572000;0.003861
114;168371;168266;2000.488000;0.000624
115;70510;70190;2001.893000;0.004559
116;370754;370614;2003.896000;0.000378
117;324620;324437;2001.887000;0.000564
118;246675;246237;2002.642000;0.001779
119;293695;293571;2000.476000;0.000422
120;267357;267316;2002.393000;0.000153
121;471327;471214;2002.482000;0.000240
122;570535;570459;2000.571000;0.000133
123;397358;397029;2003.407000;0.000829
124;431115;431115;2002.592000;0.000000
125;560858;560754;2003.311000;0.000185

uruchamianie testow TS z dywersyfikacja, sasiedztwo: Przez zamiane
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;2001.023000;0.000000
2;6182;6170;2000.971000;0.001945
3;4267;4267;2000.100000;0.000000
4;5058;5011;2000.925000;0.009379
5;5283;5283;2000.334000;0.000000
6;58258;58258;2001.100000;0.000000
7;51020;50972;2000.248000;0.000942
8;59434;59434;2000.749000;0.000000
9;41027;40978;2001.151000;0.001196
10;53572;53208;2001.326000;0.006841
11;298736;181649;2001.360000;0.644578
12;343509;234179;2000.498000;0.466865
13;321537;178840;2000.189000;0.797903
14;268115;157476;2000.651000;0.702577
15;247881;172995;2000.791000;0.432880
16;725689;407703;2000.648000;0.779945
17;609629;332804;2001.136000;0.831796
18;744025;544838;2000.254000;0.365589
19;665940;477684;2000.199000;0.394102
20;641946;406094;2000.999000;0.580782
21;1208637;898925;2000.914000;0.344536
22;849210;556873;2000.658000;0.524962
23;853954;539716;2000.368000;0.582228
24;1077591;744287;2001.052000;0.447817
25;937553;585306;2000.252000;0.601817
26;8;8;2000.515000;0.000000
27;859;718;2000.672000;0.196379
28;99;27;2000.168000;2.666667
29;506;480;2000.857000;0.054167
30;50;50;2000.297000;0.000000
31;24266;24202;2000.847000;0.002644
32;26723;25469;2000.321000;0.049236
33;34926;32964;2000.204000;0.059519
34;74686;22215;2000.133000;2.361963
35;58761;19114;2001.247000;2.074239
36;253020;108293;2000.607000;1.336439
37;323375;181850;2000.136000;0.778251
38;201438;90440;2000.825000;1.227311
39;298263;151701;2000.122000;0.966124
40;308047;129728;2002.065000;1.374561
41;745770;462324;2000.362000;0.613090
42;656359;425875;2000.548000;0.541201
43;596865;320537;2000.717000;0.862078
44;710497;360193;2000.218000;0.972545
45;588975;306040;2000.183000;0.924503
46;1104033;829828;2000.466000;0.330436
47;912842;623356;2000.705000;0.464399
48;1223453;748988;2000.562000;0.633475
49;981044;656693;2000.395000;0.493916
50;1035327;599269;2000.952000;0.727650
56;97196;9046;2000.928000;9.744639
57;87959;11539;2000.051000;6.622758
58;162447;16313;2000.809000;8.958132
59;32538;7965;2000.692000;3.085122
60;109664;19912;2000.735000;4.507433
61;345837;86793;2000.087000;2.984619
62;305313;87067;2001.300000;2.506644
63;429153;96563;2000.422000;3.444280
64;292550;100788;2001.287000;1.902627
65;200905;56510;2001.260000;2.555211
66;531232;243872;2000.214000;1.178323
67;729648;401023;2000.066000;0.819467
68;873713;399085;2000.719000;1.189291
69;511506;309232;2000.760000;0.654117
70;538160;222684;2000.700000;1.416698
71;888895;640816;2000.221000;0.387130
72;846469;611362;2000.318000;0.384563
73;841564;623429;2000.708000;0.349895
74;895313;584628;2000.342000;0.531423
75;944440;575274;2000.815000;0.641722
81;175787;1400;2000.666000;124.562143
82;190439;317;2000.847000;599.753943
83;119088;1146;2000.279000;102.916230
84;40043;136;2001.466000;293.433824
85;138691;284;2001.054000;487.348592
86;349331;66850;2000.874000;4.225595
87;431056;84229;2001.135000;4.117667
88;346768;55544;2001.172000;5.243123
