uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;4718.770000;0.000000
2;6170;6170;4656.996000;0.000000
3;4267;4267;4665.285000;0.000000
4;5011;5011;4657.942000;0.000000
5;5283;5283;4719.963000;0.000000
6;58258;58258;4856.364000;0.000000
7;50972;50972;4849.574000;0.000000
8;59434;59434;4876.861000;0.000000
9;40978;40978;4868.339000;0.000000
10;53208;53208;4855.917000;0.000000
11;181649;181649;4968.466000;0.000000
12;234315;234179;4961.170000;0.000581
13;178840;178840;4983.200000;0.000000
14;157541;157476;4932.158000;0.000413
15;173020;172995;4935.274000;0.000145
16;407703;407703;5002.368000;0.000000
17;332804;332804;5001.727000;0.000000
18;544838;544838;5000.419000;0.000000
19;477800;477684;5002.996000;0.000243
20;406094;406094;5001.022000;0.000000
21;898925;898925;4913.960000;0.000000
22;556873;556873;4893.181000;0.000000
23;539716;539716;4920.843000;0.000000
24;744290;744287;4933.373000;0.000004
25;585306;585306;4966.946000;0.000000
26;8;8;4701.519000;0.000000
27;718;718;4790.262000;0.000000
28;27;27;4734.635000;0.000000
29;480;480;4772.967000;0.000000
30;50;50;4790.809000;0.000000
31;24202;24202;5001.665000;0.000000
32;25999;25469;5002.231000;0.020810
33;32964;32964;5000.923000;0.000000
34;22215;22215;5001.675000;0.000000
35;19114;19114;5000.880000;0.000000
36;108725;108293;5000.046000;0.003989
37;182041;181850;5000.122000;0.001050
38;90440;90440;5000.123000;0.000000
39;153082;151701;5000.812000;0.009103
40;129728;129728;5000.303000;0.000000
41;462324;462324;5001.901000;0.000000
42;425914;425875;5003.323000;0.000092
43;320537;320537;5000.439000;0.000000
44;360835;360193;5000.203000;0.001782
45;306053;306040;5002.999000;0.000042
46;829828;829828;4939.243000;0.000000
47;623356;623356;4945.808000;0.000000
48;749001;748988;4957.902000;0.000017
49;656693;656693;4983.629000;0.000000
50;599279;599269;5002.718000;0.000017
56;9478;9046;5001.468000;0.047756
57;11539;11539;5000.809000;0.000000
58;16333;16313;5003.213000;0.001226
59;7965;7965;5000.183000;0.000000
60;19912;19912;5003.749000;0.000000
61;87224;86793;5002.590000;0.004966
62;87240;87067;5004.028000;0.001987
63;97533;96563;5000.936000;0.010045
64;101563;100788;5002.996000;0.007689
65;56510;56510;5002.700000;0.000000
66;243912;243872;5001.137000;0.000164
67;401048;401023;5003.390000;0.000062
68;399085;399085;5000.882000;0.000000
69;309232;309232;5002.348000;0.000000
70;222704;222684;5001.996000;0.000090
71;640852;640816;4981.008000;0.000056
72;611362;611362;5002.019000;0.000000
73;623435;623429;4932.024000;0.000010
74;584631;584628;4987.313000;0.000005
75;575274;575274;5002.858000;0.000000
81;1400;1400;5002.541000;0.000000
82;317;317;5001.257000;0.000000
83;1146;1146;5000.695000;0.000000
84;136;136;5003.438000;0.000000
85;284;284;5001.485000;0.000000
86;68369;66850;5002.430000;0.022723
