lp;opt;pop-20 time-1;pop-20 time-2;pop-20 time-5;pop-20 time-10;pop-20 time-20;pop-20 time-30;pop-100 time-1;pop-100 time-2;pop-100 time-5;pop-100 time-10;pop-100 time-20;pop-100 time-30;pop-600 time-1;pop-600 time-2;pop-600 time-5;pop-600 time-10;pop-600 time-20;pop-600 time-30
1;5988;5988;5988;5988;5988;5988;5988;17493;17493;14837;14837;13491;13491;16452;14997;14997;14997;14817;14817
2;6170;6182;6182;6170;6170;6170;6170;16596;14797;14797;14797;14780;13137;16078;16078;16078;13752;13752;13752
3;4267;4286;4267;4267;4267;4267;4267;13137;13137;12226;12226;10781;10781;14910;14704;14388;13447;12587;12587
4;5011;5011;5011;5011;5011;5011;5011;14998;14710;13432;11540;10436;10436;15783;13877;12865;12865;12031;12031
5;5283;5283;5283;5283;5283;5283;5283;14753;14753;11379;11098;10949;10949;14887;14887;14290;14290;14204;13526
6;58258;58258;58258;58258;58258;58258;58258;110392;96626;96626;96626;93010;93010;119051;119051;119051;118654;112955;112955
7;50972;50972;50972;50972;50972;50972;50972;121361;101735;101735;94835;87332;87332;121963;116396;100821;100821;100821;99241
8;59434;59683;59683;59520;59476;59434;59434;104166;104166;102133;102133;97848;96279;114390;96647;96647;96647;94253;94253
9;40978;41005;41005;41005;41005;41005;41005;94317;94317;94317;89974;89974;89974;107412;107412;103026;103026;99376;90655
10;53208;53416;53416;53251;53251;53208;53208;92975;92975;84156;84156;84156;84156;96659;96659;96659;96659;92998;92998
