lp;opt;pop-20 time-1;pop-20 time-2;pop-20 time-5;pop-20 time-10;pop-20 time-20;pop-20 time-30;pop-100 time-1;pop-100 time-2;pop-100 time-5;pop-100 time-10;pop-100 time-20;pop-100 time-30;pop-600 time-1;pop-600 time-2;pop-600 time-5;pop-600 time-10;pop-600 time-20;pop-600 time-30
1;5988;5988;5988;5988;5988;5988;5988;15237;15237;15237;10665;10665;10665;18281;15551;15551;13999;13275;13275
2;6170;6182;6182;6182;6182;6182;6182;17091;17091;15890;14026;13481;12835;19629;14052;14052;14052;14052;13220
3;4267;4267;4267;4267;4267;4267;4267;13022;13022;13022;12410;9068;9068;14756;14756;14155;12490;12490;12490
4;5011;5011;5011;5011;5011;5011;5011;14723;14506;11599;11599;9700;9700;14287;13583;13307;12767;12591;10441
5;5283;5283;5283;5283;5283;5283;5283;15414;14340;10971;10971;10971;10971;16831;15513;15142;14025;14025;13494
6;58258;58258;58258;58258;58258;58258;58258;118372;118372;115137;97637;97637;97637;115704;105246;105246;105246;105246;105246
7;50972;51318;50972;50972;50972;50972;50972;109998;108176;108176;106749;85512;85512;117788;115292;107984;107984;100502;100502
8;59434;59668;59668;59505;59505;59505;59505;116712;111209;103050;103050;96747;96747;115445;115445;114618;103983;103983;103983
9;40978;41005;41005;41005;41005;41005;41005;94113;94113;94113;77202;77202;77202;108740;99818;92894;92894;92894;92894
10;53208;53251;53251;53251;53251;53251;53251;98281;98281;91009;85998;85998;85998;97762;97762;94368;91202;91202;91202
