lp;opt;pop-20 time-1;pop-20 time-2;pop-20 time-5;pop-20 time-10;pop-20 time-20;pop-20 time-30;pop-100 time-1;pop-100 time-2;pop-100 time-5;pop-100 time-10;pop-100 time-20;pop-100 time-30;pop-600 time-1;pop-600 time-2;pop-600 time-5;pop-600 time-10;pop-600 time-20;pop-600 time-30
1;5988;5988;5988;5988;5988;5988;5988;6244;5988;5988;5988;5988;5988;6076;6076;6043;5988;5988;5988
2;6170;6392;6392;6199;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182;6182
3;4267;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4267;4267;4267;4267;4267;4267;4267;4267
4;5011;5209;5100;5100;5100;5100;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011
5;5283;5579;5579;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283
6;58258;58418;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58412;58412;58388;58384;58258;58258
7;50972;51293;51293;51293;51293;51293;51293;51318;51318;51293;51293;51293;51293;51118;51118;51118;51118;51118;50972
8;59434;59613;59613;59434;59434;59434;59434;59536;59536;59476;59476;59476;59476;59505;59505;59505;59476;59476;59434
9;40978;41130;41067;41005;41005;41005;41005;41005;41005;41005;41005;41005;41005;41301;41301;41301;41301;41271;41271
10;53208;53208;53208;53208;53208;53208;53208;53472;53472;53472;53472;53472;53472;53208;53208;53208;53208;53208;53208
