lp;opt;pop-20 time-1;pop-20 time-2;pop-20 time-5;pop-20 time-10;pop-20 time-20;pop-20 time-30;pop-100 time-1;pop-100 time-2;pop-100 time-5;pop-100 time-10;pop-100 time-20;pop-100 time-30;pop-600 time-1;pop-600 time-2;pop-600 time-5;pop-600 time-10;pop-600 time-20;pop-600 time-30
1;5988;6066;6066;6066;6066;6066;6066;5988;5988;5988;5988;5988;5988;6066;6066;6066;6066;6066;6066
2;6170;6218;6218;6170;6170;6170;6170;6240;6240;6240;6240;6240;6240;6240;6240;6240;6240;6240;6240
3;4267;4336;4336;4336;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267;4267
4;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5150;5150;5150;5150;5150;5058
5;5283;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5283;5283;5283;5283;5283;5283
6;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258;58258
7;50972;51293;51293;51020;51020;51020;51020;51620;51620;51620;51620;51020;51020;51620;51620;51620;51494;51494;51494
8;59434;59721;59434;59434;59434;59434;59434;59434;59434;59434;59434;59434;59434;59624;59624;59624;59624;59624;59624
9;40978;41194;41194;41194;41194;41194;41194;41065;41065;41065;41065;41065;41065;41013;41013;41013;41013;41013;41013
10;53208;53334;53334;53334;53208;53208;53208;53314;53314;53314;53314;53314;53314;53714;53714;53714;53714;53714;53714
