lp;opt;mRate-0.01 time-1;mRate-0.01 time-2;mRate-0.01 time-5;mRate-0.01 time-10;mRate-0.01 time-20;mRate-0.01 time-30;mRate-0.05 time-1;mRate-0.05 time-2;mRate-0.05 time-5;mRate-0.05 time-10;mRate-0.05 time-20;mRate-0.05 time-30;mRate-0.1 time-1;mRate-0.1 time-2;mRate-0.1 time-5;mRate-0.1 time-10;mRate-0.1 time-20;mRate-0.1 time-30
1;5988;18742;18742;18408;13311;13311;13311;17143;17143;17143;17143;14993;14993;19348;19348;19198;13629;13629;13629
2;6170;16622;16622;16149;16149;15578;13297;19771;18209;17642;17642;15317;15317;17903;17903;16641;16641;16423;16423
3;4267;16236;16236;16236;14506;13184;13184;16731;16335;15864;14109;13086;13086;15277;14793;14153;14153;14153;13723
4;5011;15956;15956;15122;13233;13233;13233;15786;15786;11962;11962;11962;11750;15837;15574;15556;14462;14153;12955
5;5283;17939;16445;16301;15826;14557;14391;19167;17857;16453;16453;15019;13632;16909;15535;15535;14281;14281;14281
6;58258;113216;113216;113216;113216;113216;112504;127712;127712;127696;119044;119044;119044;128904;127256;125753;120872;117486;117486
7;50972;122525;122372;110483;110483;110483;104122;114328;114328;114328;114328;111625;111625;120856;120856;119802;113072;109954;109954
8;59434;121159;114432;111166;105582;105582;105582;118554;117342;110619;110619;110619;110619;121095;121095;116456;116456;116456;116456
9;40978;112211;112211;102786;102786;102786;102786;124029;111301;101441;101441;101441;101441;114663;108953;108953;106485;98672;98672
10;53208;103488;103486;103486;101489;96325;96325;106574;104957;103575;102834;100110;96156;108106;102910;102253;97886;97191;91647
