lp;opt;mRate-0.01 time-1;mRate-0.01 time-2;mRate-0.01 time-5;mRate-0.01 time-10;mRate-0.01 time-20;mRate-0.01 time-30;mRate-0.05 time-1;mRate-0.05 time-2;mRate-0.05 time-5;mRate-0.05 time-10;mRate-0.05 time-20;mRate-0.05 time-30;mRate-0.1 time-1;mRate-0.1 time-2;mRate-0.1 time-5;mRate-0.1 time-10;mRate-0.1 time-20;mRate-0.1 time-30
1;5988;19809;15281;15281;15281;15281;15281;21193;19171;16961;15954;15954;15954;18890;14267;14267;14267;14267;14267
2;6170;21015;16501;16501;16501;15789;15789;18533;18533;18533;14905;14905;14905;18835;18835;17397;17343;17343;16234
3;4267;16609;16034;15347;14752;14141;11427;15456;15456;13587;13587;13512;13512;15951;12453;12453;12453;12453;11740
4;5011;14293;14293;13898;13898;13025;13025;13583;13583;12119;12119;12119;12119;15371;15371;14692;13320;13320;13042
5;5283;15513;15513;14381;14381;14381;14381;17008;15463;15463;14950;14799;14042;17182;17182;13220;13220;13220;13220
6;58258;124498;121077;121077;121077;120775;120625;127987;125350;121634;121634;112895;112895;128135;128135;124883;118792;118773;117921
7;50972;117523;117523;117523;112716;112716;112716;122203;114746;114746;108265;108265;108103;120702;120702;111389;98746;98746;98746
8;59434;122539;116458;116458;110457;110457;110457;119428;115995;115565;113911;113911;113911;119622;119622;117266;117266;109940;109940
9;40978;109963;109963;109963;108158;108158;91076;111464;111464;109872;107616;102772;97811;113529;109343;109343;105993;105993;99707
10;53208;103874;103874;89807;89807;89807;89807;106319;106319;100747;88071;88071;88071;98882;98882;98882;98882;95626;95626
