lp;opt;mRate-0.01 time-1;mRate-0.01 time-2;mRate-0.01 time-5;mRate-0.01 time-10;mRate-0.01 time-20;mRate-0.01 time-30;mRate-0.05 time-1;mRate-0.05 time-2;mRate-0.05 time-5;mRate-0.05 time-10;mRate-0.05 time-20;mRate-0.05 time-30;mRate-0.1 time-1;mRate-0.1 time-2;mRate-0.1 time-5;mRate-0.1 time-10;mRate-0.1 time-20;mRate-0.1 time-30
1;5988;6485;6423;6076;6076;6076;6076;6211;6127;6127;5988;5988;5988;6076;6076;6043;6043;5988;5988
2;6170;7216;7216;7216;7216;7216;7216;6182;6182;6182;6182;6182;6182;6336;6336;6336;6182;6182;6182
3;4267;4658;4658;4658;4658;4658;4599;4286;4286;4286;4286;4286;4286;4267;4267;4267;4267;4267;4267
4;5011;5011;5011;5011;5011;5011;5011;5345;5276;5011;5011;5011;5011;5100;5100;5100;5100;5011;5011
5;5283;5563;5283;5283;5283;5283;5283;5539;5539;5539;5283;5283;5283;5283;5283;5283;5283;5283;5283
6;58258;58258;58258;58258;58258;58258;58258;58694;58258;58258;58258;58258;58258;58848;58848;58451;58345;58258;58258
7;50972;50989;50972;50972;50972;50972;50972;51101;51101;51101;51101;51101;51101;50972;50972;50972;50972;50972;50972
8;59434;59805;59805;59805;59805;59805;59805;60658;59754;59724;59434;59434;59434;59476;59476;59476;59476;59476;59434
9;40978;41585;41570;41570;41570;41570;41570;41301;41301;41301;41162;41162;41162;41005;41005;41005;41005;41005;41005
10;53208;53968;53934;53892;53892;53892;53892;53648;53648;53648;53648;53431;53340;53416;53416;53416;53208;53208;53208
