lp;opt;mRate-0.01 time-1;mRate-0.01 time-2;mRate-0.01 time-5;mRate-0.01 time-10;mRate-0.01 time-20;mRate-0.01 time-30;mRate-0.05 time-1;mRate-0.05 time-2;mRate-0.05 time-5;mRate-0.05 time-10;mRate-0.05 time-20;mRate-0.05 time-30;mRate-0.1 time-1;mRate-0.1 time-2;mRate-0.1 time-5;mRate-0.1 time-10;mRate-0.1 time-20;mRate-0.1 time-30
1;5988;5988;5988;5988;5988;5988;5988;6066;6066;6066;6066;6066;6066;5988;5988;5988;5988;5988;5988
2;6170;6218;6218;6218;6218;6218;6218;6218;6218;6218;6218;6218;6218;6240;6240;6240;6240;6240;6240
3;4267;4286;4286;4286;4267;4267;4267;4286;4267;4267;4267;4267;4267;4286;4267;4267;4267;4267;4267
4;5011;5260;5184;5080;5011;5011;5011;5011;5011;5011;5011;5011;5011;5150;5150;5150;5150;5150;5150
5;5283;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5563;5283;5283;5283;5283;5283;5283
6;58258;58621;58621;58621;58621;58621;58540;58734;58734;58734;58734;58734;58734;58651;58651;58651;58651;58651;58651
7;50972;51416;51358;50972;50972;50972;50972;51318;51318;51318;51318;51318;51318;51020;51020;51020;51020;51020;51020
8;59434;60065;59937;59434;59434;59434;59434;59678;59678;59678;59505;59505;59505;59703;59703;59703;59703;59703;59703
9;40978;41072;41065;41065;41065;41065;41065;41014;41014;41014;41014;41005;41005;41013;41013;41013;41005;41005;41005
10;53208;53314;53314;53314;53314;53314;53314;53714;53714;53714;53714;53714;53714;53562;53562;53562;53562;53562;53562
