lp;opt;cRate-0.5 time-1;cRate-0.5 time-2;cRate-0.5 time-5;cRate-0.5 time-10;cRate-0.5 time-20;cRate-0.5 time-30;cRate-0.7 time-1;cRate-0.7 time-2;cRate-0.7 time-5;cRate-0.7 time-10;cRate-0.7 time-20;cRate-0.7 time-30;cRate-0.9 time-1;cRate-0.9 time-2;cRate-0.9 time-5;cRate-0.9 time-10;cRate-0.9 time-20;cRate-0.9 time-30
1;5988;6472;6472;6472;6187;6187;6187;5988;5988;5988;5988;5988;5988;21852;18752;18752;18405;16077;16077
2;6170;6253;6182;6182;6182;6182;6182;7349;7349;6182;6182;6182;6182;21176;18000;15477;15093;15093;15093
3;4267;4510;4267;4267;4267;4267;4267;4790;4785;4785;4785;4286;4286;14442;14442;14442;14442;14286;14286
4;5011;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;16230;16230;15201;15201;14920;14350
5;5283;6061;5543;5543;5543;5543;5543;5406;5283;5283;5283;5283;5283;13340;13340;12143;12143;12143;12143
6;58258;58267;58258;58258;58258;58258;58258;58453;58451;58451;58451;58451;58451;130087;126003;126003;126003;119178;119178
7;50972;52147;52147;51318;51318;51305;51293;50974;50972;50972;50972;50972;50972;129355;116361;116361;116361;116361;116361
8;59434;59859;59859;59859;59859;59859;59653;59486;59476;59476;59476;59476;59476;121561;121561;115341;115341;115341;115341
9;40978;41294;40978;40978;40978;40978;40978;41241;41147;41147;41147;41147;41147;114255;114255;114168;106436;104578;104578
10;53208;54551;54488;54488;54488;53488;53488;53606;53582;53582;53582;53582;53582;102517;102517;100620;100620;100620;100620
