lp;opt;cRate-0.5 time-1;cRate-0.5 time-2;cRate-0.5 time-5;cRate-0.5 time-10;cRate-0.5 time-20;cRate-0.5 time-30;cRate-0.7 time-1;cRate-0.7 time-2;cRate-0.7 time-5;cRate-0.7 time-10;cRate-0.7 time-20;cRate-0.7 time-30;cRate-0.9 time-1;cRate-0.9 time-2;cRate-0.9 time-5;cRate-0.9 time-10;cRate-0.9 time-20;cRate-0.9 time-30
1;5988;6208;6093;6076;6076;6076;6076;6079;6079;6076;6076;6076;6076;20451;19495;19495;17800;17800;17529
2;6170;6240;6240;6240;6240;6240;6240;6329;6182;6182;6182;6182;6182;21129;18937;16203;16203;16203;15387
3;4267;4530;4530;4530;4267;4267;4267;4558;4295;4295;4295;4295;4295;16538;16538;16082;15598;12754;12754
4;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;5011;16760;15625;15239;15239;15103;13696
5;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;18554;18554;16047;15247;15247;15247
6;58258;58303;58303;58258;58258;58258;58258;58729;58710;58710;58710;58710;58710;128285;128285;125388;125388;120887;120887
7;50972;51710;51700;51700;51339;51339;51339;51318;51318;51318;51318;50972;50972;127181;124988;110778;110778;110778;110778
8;59434;59654;59654;59654;59654;59654;59654;60062;59893;59893;59893;59893;59893;124268;124268;115353;115353;113894;111284
9;40978;41005;41005;41005;41005;41005;41005;41194;41194;41194;41194;41194;41194;119611;112192;112192;112192;112192;108398
10;53208;53428;53428;53428;53428;53428;53428;53600;53395;53395;53251;53251;53251;105578;102060;100281;100281;100281;100281
