lp;opt;cRate-0.5 time-1;cRate-0.5 time-2;cRate-0.5 time-5;cRate-0.5 time-10;cRate-0.5 time-20;cRate-0.5 time-30;cRate-0.7 time-1;cRate-0.7 time-2;cRate-0.7 time-5;cRate-0.7 time-10;cRate-0.7 time-20;cRate-0.7 time-30;cRate-0.9 time-1;cRate-0.9 time-2;cRate-0.9 time-5;cRate-0.9 time-10;cRate-0.9 time-20;cRate-0.9 time-30
1;5988;5988;5988;5988;5988;5988;5988;5988;5988;5988;5988;5988;5988;6370;6213;5988;5988;5988;5988
2;6170;6675;6675;6675;6675;6182;6182;6760;6760;6760;6760;6760;6760;7096;7096;6922;6182;6182;6182
3;4267;4530;4267;4267;4267;4267;4267;4537;4537;4537;4480;4480;4480;4286;4286;4286;4286;4286;4286
4;5011;5380;5380;5380;5380;5380;5380;5189;5184;5184;5184;5184;5184;5011;5011;5011;5011;5011;5011
5;5283;5593;5539;5539;5539;5539;5539;5505;5505;5283;5283;5283;5283;5807;5807;5807;5627;5531;5453
6;58258;58258;58258;58258;58258;58258;58258;59633;59621;59621;59621;59621;59621;58780;58765;58765;58765;58765;58765
7;50972;51318;51318;51318;51318;51318;51318;51320;51293;51293;51293;51293;51293;51296;51293;51293;51293;51293;51293
8;59434;61170;60718;59536;59536;59536;59536;59796;59505;59505;59505;59505;59505;59683;59683;59683;59683;59683;59683
9;40978;41013;41005;41005;41005;41005;41005;41009;41005;41005;41005;41005;41005;41310;41309;41309;41309;41309;41309
10;53208;53865;53851;53851;53851;53851;53851;53531;53484;53484;53484;53484;53472;53251;53251;53251;53251;53251;53251
