lp;opt;cRate-0.5 time-1;cRate-0.5 time-2;cRate-0.5 time-5;cRate-0.5 time-10;cRate-0.5 time-20;cRate-0.5 time-30;cRate-0.7 time-1;cRate-0.7 time-2;cRate-0.7 time-5;cRate-0.7 time-10;cRate-0.7 time-20;cRate-0.7 time-30;cRate-0.9 time-1;cRate-0.9 time-2;cRate-0.9 time-5;cRate-0.9 time-10;cRate-0.9 time-20;cRate-0.9 time-30
1;5988;5988;5988;5988;5988;5988;5988;6253;6253;6253;5988;5988;5988;6260;6093;6076;6076;6076;6076
2;6170;6842;6842;6450;6347;6312;6312;6371;6357;6357;6357;6347;6347;6240;6240;6240;6240;6240;6240
3;4267;4286;4267;4267;4267;4267;4267;4286;4286;4286;4286;4286;4267;4336;4336;4336;4336;4336;4336
4;5011;5150;5150;5150;5150;5150;5150;5058;5058;5058;5058;5058;5058;5150;5150;5150;5150;5150;5150
5;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5283;5285;5283;5283;5283;5283;5283
6;58258;58258;58258;58258;58258;58258;58258;58677;58621;58621;58621;58621;58540;59211;58651;58651;58651;58651;58651
7;50972;50972;50972;50972;50972;50972;50972;51200;50972;50972;50972;50972;50972;51436;51293;51293;51020;51020;51020
8;59434;59813;59809;59809;59809;59809;59809;59624;59624;59624;59624;59624;59624;59678;59678;59678;59678;59678;59678
9;40978;41065;41065;41065;41065;41065;41065;41254;41254;41254;41014;41014;41014;41333;41005;41005;41005;41005;41005
10;53208;53714;53714;53714;53714;53714;53714;54027;53974;53632;53632;53632;53632;53456;53334;53334;53334;53334;53334
